Age,Gender,Education Level,Job Title,Years of Experience,Salary,Job Category,Job Type
49.0,Female,PhD,Project Engineer,17.0,195000.0,Senior,Software & IT
36.0,Male,Master's,Back end Developer,9.0,150000.0,Regular,Software & IT
33.0,Female,Bachelor's,Full Stack Engineer,6.0,115000.0,Regular,Software & IT
45.0,Male,PhD,Software Engineer Manager,16.0,185000.0,Regular,Software & IT
28.0,Female,Bachelor's,Front end Developer,2.0,65000.0,Regular,Software & IT
39.0,Female,Master's,Software Engineer Manager,12.0,160000.0,Regular,Software & IT
30.0,Male,Bachelor's,Back end Developer,5.0,100000.0,Regular,Software & IT
46.0,Male,PhD,Project Engineer,15.0,180000.0,Senior,Software & IT
25.0,Female,Bachelor's,Front end Developer,1.0,55000.0,Regular,Software & IT
42.0,Male,PhD,Software Engineer Manager,14.0,190000.0,Regular,Software & IT
31.0,Male,Bachelor's,Full Stack Engineer,6.0,115000.0,Regular,Software & IT
49.0,Female,PhD,Project Engineer,17.0,195000.0,Senior,Software & IT
36.0,Male,Master's,Back end Developer,9.0,150000.0,Regular,Software & IT
33.0,Female,Bachelor's,Full Stack Engineer,6.0,115000.0,Regular,Software & IT
45.0,Male,PhD,Software Engineer Manager,16.0,185000.0,Regular,Software & IT
28.0,Female,Bachelor's,Front end Developer,2.0,65000.0,Regular,Software & IT
39.0,Female,Master's,Software Engineer Manager,12.0,160000.0,Regular,Software & IT
30.0,Male,Bachelor's,Back end Developer,5.0,100000.0,Regular,Software & IT
46.0,Male,PhD,Project Engineer,15.0,180000.0,Senior,Software & IT
25.0,Female,Bachelor's,Front end Developer,1.0,55000.0,Regular,Software & IT
42.0,Male,PhD,Software Engineer Manager,14.0,190000.0,Regular,Software & IT
31.0,Male,Bachelor's,Full Stack Engineer,6.0,115000.0,Regular,Software & IT
49.0,Female,PhD,Project Engineer,17.0,195000.0,Senior,Software & IT
36.0,Male,Master's,Back end Developer,9.0,150000.0,Regular,Software & IT
33.0,Female,Bachelor's,Full Stack Engineer,6.0,115000.0,Regular,Software & IT
45.0,Male,PhD,Software Engineer Manager,16.0,185000.0,Regular,Software & IT
28.0,Female,Bachelor's,Front end Developer,2.0,65000.0,Regular,Software & IT
39.0,Female,Master's,Software Engineer Manager,12.0,160000.0,Regular,Software & IT
30.0,Male,Bachelor's,Back end Developer,5.0,100000.0,Regular,Software & IT
46.0,Male,PhD,Project Engineer,15.0,180000.0,Senior,Software & IT
25.0,Female,Bachelor's,Front end Developer,1.0,55000.0,Regular,Software & IT
42.0,Male,PhD,Software Engineer Manager,14.0,190000.0,Regular,Software & IT
31.0,Male,Bachelor's,Full Stack Engineer,6.0,115000.0,Regular,Software & IT
49.0,Female,PhD,Project Engineer,17.0,195000.0,Senior,Software & IT
36.0,Male,Master's,Back end Developer,9.0,150000.0,Regular,Software & IT
33.0,Female,Bachelor's,Full Stack Engineer,6.0,115000.0,Regular,Software & IT
45.0,Male,PhD,Software Engineer Manager,16.0,185000.0,Regular,Software & IT
28.0,Female,Bachelor's,Front end Developer,2.0,65000.0,Regular,Software & IT
39.0,Female,Master's,Software Engineer Manager,12.0,160000.0,Regular,Software & IT
30.0,Male,Bachelor's,Back end Developer,5.0,100000.0,Regular,Software & IT
46.0,Male,PhD,Project Engineer,15.0,180000.0,Senior,Software & IT
25.0,Female,Bachelor's,Front end Developer,1.0,55000.0,Regular,Software & IT
42.0,Male,PhD,Software Engineer Manager,14.0,190000.0,Regular,Software & IT
31.0,Male,Bachelor's,Full Stack Engineer,6.0,115000.0,Regular,Software & IT
49.0,Female,PhD,Project Engineer,17.0,195000.0,Senior,Software & IT
36.0,Male,Master's,Back end Developer,9.0,150000.0,Regular,Software & IT
33.0,Female,Bachelor's,Full Stack Engineer,6.0,115000.0,Regular,Software & IT
45.0,Male,PhD,Software Engineer Manager,16.0,185000.0,Regular,Software & IT
28.0,Female,Bachelor's,Front end Developer,2.0,65000.0,Regular,Software & IT
39.0,Female,Master's,Software Engineer Manager,12.0,160000.0,Regular,Software & IT
30.0,Male,Bachelor's,Back end Developer,5.0,100000.0,Regular,Software & IT
46.0,Male,PhD,Project Engineer,15.0,180000.0,Senior,Software & IT
25.0,Female,Bachelor's,Front end Developer,1.0,55000.0,Regular,Software & IT
42.0,Male,PhD,Software Engineer Manager,14.0,190000.0,Regular,Software & IT
31.0,Male,Bachelor's,Full Stack Engineer,6.0,115000.0,Regular,Software & IT
49.0,Female,PhD,Project Engineer,17.0,195000.0,Senior,Software & IT
36.0,Male,Master's,Back end Developer,9.0,150000.0,Regular,Software & IT
33.0,Female,Bachelor's,Full Stack Engineer,6.0,115000.0,Regular,Software & IT
45.0,Male,PhD,Software Engineer Manager,16.0,185000.0,Regular,Software & IT
28.0,Female,Bachelor's,Front end Developer,2.0,65000.0,Regular,Software & IT
39.0,Female,Master's,Software Engineer Manager,12.0,160000.0,Regular,Software & IT
30.0,Male,Bachelor's,Back end Developer,5.0,100000.0,Regular,Software & IT
46.0,Male,PhD,Project Engineer,15.0,180000.0,Senior,Software & IT
25.0,Female,Bachelor's,Front end Developer,1.0,55000.0,Regular,Software & IT
42.0,Male,PhD,Software Engineer Manager,14.0,190000.0,Regular,Software & IT
31.0,Male,Bachelor's,Full Stack Engineer,6.0,115000.0,Regular,Software & IT
49.0,Female,PhD,Project Engineer,17.0,195000.0,Senior,Software & IT
36.0,Male,Master's,Back end Developer,9.0,150000.0,Regular,Software & IT
33.0,Female,Bachelor's,Full Stack Engineer,6.0,115000.0,Regular,Software & IT
45.0,Male,PhD,Software Engineer Manager,16.0,185000.0,Regular,Software & IT
28.0,Female,Bachelor's,Front end Developer,2.0,65000.0,Regular,Software & IT
39.0,Female,Master's,Software Engineer Manager,12.0,160000.0,Regular,Software & IT
30.0,Male,Bachelor's,Back end Developer,5.0,100000.0,Regular,Software & IT
46.0,Male,PhD,Project Engineer,15.0,180000.0,Senior,Software & IT
25.0,Female,Bachelor's,Front end Developer,1.0,55000.0,Regular,Software & IT
42.0,Male,PhD,Software Engineer Manager,14.0,190000.0,Regular,Software & IT
31.0,Male,Bachelor's,Full Stack Engineer,6.0,115000.0,Regular,Software & IT
49.0,Female,PhD,Project Engineer,17.0,195000.0,Senior,Software & IT
36.0,Male,Master's,Back end Developer,9.0,150000.0,Regular,Software & IT
33.0,Female,Bachelor's,Full Stack Engineer,6.0,115000.0,Regular,Software & IT
45.0,Male,PhD,Software Engineer Manager,16.0,185000.0,Regular,Software & IT
28.0,Female,Bachelor's,Front end Developer,2.0,65000.0,Regular,Software & IT
39.0,Female,Master's,Software Engineer Manager,12.0,160000.0,Regular,Software & IT
30.0,Male,Bachelor's,Back end Developer,5.0,100000.0,Regular,Software & IT
46.0,Male,PhD,Project Engineer,15.0,180000.0,Senior,Software & IT
25.0,Female,Bachelor's,Front end Developer,1.0,55000.0,Regular,Software & IT
42.0,Male,PhD,Software Engineer Manager,14.0,190000.0,Regular,Software & IT
31.0,Male,Bachelor's,Full Stack Engineer,6.0,115000.0,Regular,Software & IT
49.0,Female,PhD,Project Engineer,17.0,195000.0,Senior,Software & IT
36.0,Male,Master's,Back end Developer,9.0,150000.0,Regular,Software & IT
33.0,Female,Bachelor's,Full Stack Engineer,6.0,115000.0,Regular,Software & IT
45.0,Male,PhD,Software Engineer Manager,16.0,185000.0,Regular,Software & IT
28.0,Female,Bachelor's,Front end Developer,2.0,65000.0,Regular,Software & IT
39.0,Female,Master's,Software Engineer Manager,12.0,160000.0,Regular,Software & IT
30.0,Male,Bachelor's,Back end Developer,5.0,100000.0,Regular,Software & IT
46.0,Male,PhD,Project Engineer,15.0,180000.0,Senior,Software & IT
29.0,Male,Bachelor's,Front end Developer,4.0,90000.0,Regular,Software & IT
40.0,Female,Master's,Software Engineer Manager,12.0,160000.0,Regular,Software & IT
27.0,Female,Bachelor's,Back end Developer,3.0,80000.0,Regular,Software & IT
50.0,Male,PhD,Project Engineer,18.0,195000.0,Senior,Software & IT
33.0,Female,Master's,Full Stack Engineer,6.0,115000.0,Regular,Software & IT
37.0,Male,Bachelor's,Software Engineer Manager,10.0,150000.0,Regular,Software & IT
28.0,Male,Bachelor's,Front end Developer,2.0,65000.0,Regular,Software & IT
44.0,Female,PhD,Project Engineer,14.0,190000.0,Senior,Software & IT
35.0,Male,Master's,Back end Developer,8.0,140000.0,Regular,Software & IT
47.0,Male,PhD,Software Engineer Manager,16.0,185000.0,Regular,Software & IT
34.0,Female,Bachelor's,Full Stack Engineer,7.0,130000.0,Regular,Software & IT
31.0,Female,Master's,Front end Developer,5.0,105000.0,Regular,Software & IT
51.0,Male,PhD,Project Engineer,19.0,200000.0,Senior,Software & IT
30.0,Male,Bachelor's,Back end Developer,5.0,100000.0,Regular,Software & IT
42.0,Male,Master's,Software Engineer Manager,13.0,170000.0,Regular,Software & IT
33.0,Female,Bachelor's,Full Stack Engineer,6.0,115000.0,Regular,Software & IT
45.0,Male,PhD,Project Engineer,16.0,185000.0,Senior,Software & IT
29.0,Female,Bachelor's,Front end Developer,4.0,90000.0,Regular,Software & IT
39.0,Female,Master's,Software Engineer Manager,12.0,160000.0,Regular,Software & IT
27.0,Male,Bachelor's,Back end Developer,3.0,80000.0,Regular,Software & IT
49.0,Male,PhD,Project Engineer,17.0,195000.0,Senior,Software & IT
32.0,Female,Master's,Full Stack Engineer,6.0,115000.0,Regular,Software & IT
36.0,Male,Bachelor's,Software Engineer Manager,8.0,135000.0,Regular,Software & IT
27.0,Male,Bachelor's,Front end Developer,2.0,65000.0,Regular,Software & IT
43.0,Female,PhD,Project Engineer,14.0,190000.0,Senior,Software & IT
34.0,Male,Master's,Back end Developer,8.0,140000.0,Regular,Software & IT
46.0,Male,PhD,Software Engineer Manager,16.0,185000.0,Regular,Software & IT
33.0,Female,Bachelor's,Full Stack Engineer,7.0,130000.0,Regular,Software & IT
30.0,Female,Master's,Front end Developer,5.0,105000.0,Regular,Software & IT
50.0,Male,PhD,Project Engineer,19.0,200000.0,Senior,Software & IT
30.0,Male,Bachelor's,Back end Developer,5.0,100000.0,Regular,Software & IT
42.0,Male,Master's,Software Engineer Manager,13.0,170000.0,Regular,Software & IT
33.0,Female,Bachelor's,Full Stack Engineer,6.0,115000.0,Regular,Software & IT
45.0,Male,PhD,Project Engineer,16.0,185000.0,Senior,Software & IT
29.0,Female,Bachelor's,Front end Developer,4.0,90000.0,Regular,Software & IT
39.0,Female,Master's,Software Engineer Manager,12.0,160000.0,Regular,Software & IT
27.0,Male,Bachelor's,Back end Developer,3.0,80000.0,Regular,Software & IT
49.0,Male,PhD,Project Engineer,17.0,195000.0,Senior,Software & IT
32.0,Female,Master's,Full Stack Engineer,6.0,115000.0,Regular,Software & IT
36.0,Male,Bachelor's,Software Engineer Manager,8.0,135000.0,Regular,Software & IT
27.0,Male,Bachelor's,Front end Developer,2.0,65000.0,Regular,Software & IT
43.0,Female,PhD,Project Engineer,14.0,190000.0,Senior,Software & IT
34.0,Male,Master's,Back end Developer,8.0,140000.0,Regular,Software & IT
46.0,Male,PhD,Software Engineer Manager,16.0,185000.0,Regular,Software & IT
33.0,Female,Bachelor's,Full Stack Engineer,7.0,130000.0,Regular,Software & IT
30.0,Female,Master's,Front end Developer,5.0,105000.0,Regular,Software & IT
50.0,Male,PhD,Project Engineer,19.0,200000.0,Senior,Software & IT
30.0,Male,Bachelor's,Back end Developer,5.0,100000.0,Regular,Software & IT
42.0,Male,Master's,Software Engineer Manager,13.0,170000.0,Regular,Software & IT
33.0,Female,Bachelor's,Full Stack Engineer,6.0,115000.0,Regular,Software & IT
45.0,Male,PhD,Project Engineer,16.0,185000.0,Senior,Software & IT
29.0,Female,Bachelor's,Front end Developer,4.0,90000.0,Regular,Software & IT
39.0,Female,Master's,Software Engineer Manager,12.0,160000.0,Regular,Software & IT
27.0,Male,Bachelor's,Back end Developer,3.0,80000.0,Regular,Software & IT
49.0,Male,PhD,Project Engineer,17.0,195000.0,Senior,Software & IT
32.0,Female,Master's,Full Stack Engineer,6.0,115000.0,Regular,Software & IT
36.0,Male,Bachelor's,Software Engineer Manager,8.0,135000.0,Regular,Software & IT
27.0,Male,Bachelor's,Front end Developer,2.0,65000.0,Regular,Software & IT
43.0,Female,PhD,Project Engineer,14.0,190000.0,Senior,Software & IT
34.0,Male,Master's,Back end Developer,8.0,140000.0,Regular,Software & IT
46.0,Male,PhD,Software Engineer Manager,16.0,185000.0,Regular,Software & IT
33.0,Female,Bachelor's,Full Stack Engineer,7.0,130000.0,Regular,Software & IT
30.0,Female,Master's,Front end Developer,5.0,105000.0,Regular,Software & IT
50.0,Male,PhD,Project Engineer,19.0,200000.0,Senior,Software & IT
30.0,Male,Bachelor's,Back end Developer,5.0,100000.0,Regular,Software & IT
42.0,Male,Master's,Software Engineer Manager,13.0,170000.0,Regular,Software & IT
33.0,Female,Bachelor's,Full Stack Engineer,6.0,115000.0,Regular,Software & IT
45.0,Male,PhD,Project Engineer,16.0,185000.0,Senior,Software & IT
29.0,Female,Bachelor's,Front end Developer,4.0,90000.0,Regular,Software & IT
39.0,Female,Master's,Software Engineer Manager,12.0,160000.0,Regular,Software & IT
27.0,Male,Bachelor's,Back end Developer,3.0,80000.0,Regular,Software & IT
49.0,Male,PhD,Project Engineer,17.0,195000.0,Senior,Software & IT
32.0,Female,Master's,Full Stack Engineer,6.0,115000.0,Regular,Software & IT
36.0,Male,Bachelor's,Software Engineer Manager,8.0,135000.0,Regular,Software & IT
27.0,Male,Bachelor's,Front end Developer,2.0,65000.0,Regular,Software & IT
43.0,Female,PhD,Project Engineer,14.0,190000.0,Senior,Software & IT
34.0,Male,Master's,Back end Developer,8.0,140000.0,Regular,Software & IT
46.0,Male,PhD,Software Engineer Manager,16.0,185000.0,Regular,Software & IT
33.0,Female,Bachelor's,Full Stack Engineer,7.0,130000.0,Regular,Software & IT
30.0,Female,Master's,Front end Developer,5.0,105000.0,Regular,Software & IT
50.0,Male,PhD,Project Engineer,19.0,200000.0,Senior,Software & IT
30.0,Male,Bachelor's,Back end Developer,5.0,100000.0,Regular,Software & IT
42.0,Male,Master's,Software Engineer Manager,13.0,170000.0,Regular,Software & IT
33.0,Female,Bachelor's,Full Stack Engineer,6.0,115000.0,Regular,Software & IT
45.0,Male,PhD,Project Engineer,16.0,185000.0,Senior,Software & IT
29.0,Female,Bachelor's,Front end Developer,4.0,90000.0,Regular,Software & IT
39.0,Female,Master's,Software Engineer Manager,12.0,160000.0,Regular,Software & IT
27.0,Male,Bachelor's,Back end Developer,3.0,80000.0,Regular,Software & IT
49.0,Male,PhD,Project Engineer,17.0,195000.0,Senior,Software & IT
32.0,Female,Master's,Full Stack Engineer,6.0,115000.0,Regular,Software & IT
36.0,Male,Bachelor's,Software Engineer Manager,8.0,135000.0,Regular,Software & IT
27.0,Male,Bachelor's,Front end Developer,2.0,65000.0,Regular,Software & IT
43.0,Female,PhD,Project Engineer,14.0,190000.0,Senior,Software & IT
34.0,Male,Master's,Back end Developer,8.0,140000.0,Regular,Software & IT
46.0,Male,PhD,Software Engineer Manager,16.0,185000.0,Regular,Software & IT
33.0,Female,Bachelor's,Full Stack Engineer,7.0,130000.0,Regular,Software & IT
30.0,Female,Master's,Front end Developer,5.0,105000.0,Regular,Software & IT
50.0,Male,PhD,Project Engineer,19.0,200000.0,Senior,Software & IT
30.0,Male,Bachelor's,Back end Developer,5.0,100000.0,Regular,Software & IT
42.0,Male,Master's,Software Engineer Manager,13.0,170000.0,Regular,Software & IT
33.0,Female,Bachelor's,Full Stack Engineer,6.0,115000.0,Regular,Software & IT
45.0,Male,PhD,Project Engineer,16.0,185000.0,Senior,Software & IT
29.0,Female,Bachelor's,Front end Developer,4.0,90000.0,Regular,Software & IT
39.0,Female,Master's,Software Engineer Manager,12.0,160000.0,Regular,Software & IT
27.0,Male,Bachelor's,Back end Developer,3.0,80000.0,Regular,Software & IT
49.0,Male,PhD,Project Engineer,17.0,195000.0,Senior,Software & IT
32.0,Female,Master's,Full Stack Engineer,6.0,115000.0,Regular,Software & IT
36.0,Male,Bachelor's,Software Engineer Manager,8.0,135000.0,Regular,Software & IT
27.0,Male,Bachelor's,Front end Developer,2.0,65000.0,Regular,Software & IT
43.0,Female,PhD,Project Engineer,14.0,190000.0,Senior,Software & IT
34.0,Male,Master's,Back end Developer,8.0,140000.0,Regular,Software & IT
46.0,Male,PhD,Software Engineer Manager,16.0,185000.0,Regular,Software & IT
33.0,Female,Bachelor's,Full Stack Engineer,7.0,130000.0,Regular,Software & IT
30.0,Female,Master's,Front end Developer,5.0,105000.0,Regular,Software & IT
50.0,Male,PhD,Project Engineer,19.0,200000.0,Senior,Software & IT
30.0,Male,Bachelor's,Back end Developer,5.0,100000.0,Regular,Software & IT
42.0,Male,Master's,Software Engineer Manager,13.0,170000.0,Regular,Software & IT
33.0,Female,Bachelor's,Full Stack Engineer,6.0,115000.0,Regular,Software & IT
45.0,Male,PhD,Project Engineer,16.0,185000.0,Senior,Software & IT
29.0,Female,Bachelor's,Front end Developer,4.0,90000.0,Regular,Software & IT
31.0,Female,Bachelor's,Front end Developer,6.0,110000.0,Regular,Software & IT
37.0,Male,Master's,Software Engineer Manager,10.0,150000.0,Regular,Software & IT
27.0,Male,Bachelor's,Back end Developer,3.0,80000.0,Regular,Software & IT
50.0,Male,PhD,Project Engineer,18.0,195000.0,Senior,Software & IT
32.0,Female,Master's,Full Stack Engineer,6.0,115000.0,Regular,Software & IT
36.0,Male,Bachelor's,Software Engineer Manager,8.0,135000.0,Regular,Software & IT
27.0,Male,Bachelor's,Front end Developer,2.0,65000.0,Regular,Software & IT
43.0,Female,PhD,Project Engineer,14.0,190000.0,Senior,Software & IT
34.0,Male,Master's,Back end Developer,8.0,140000.0,Regular,Software & IT
46.0,Male,PhD,Software Engineer Manager,16.0,185000.0,Regular,Software & IT
33.0,Female,Bachelor's,Full Stack Engineer,7.0,130000.0,Regular,Software & IT
30.0,Female,Master's,Front end Developer,5.0,105000.0,Regular,Software & IT
50.0,Male,PhD,Project Engineer,19.0,200000.0,Senior,Software & IT
30.0,Male,Bachelor's,Back end Developer,5.0,100000.0,Regular,Software & IT
42.0,Male,Master's,Software Engineer Manager,13.0,170000.0,Regular,Software & IT
33.0,Female,Bachelor's,Full Stack Engineer,6.0,115000.0,Regular,Software & IT
45.0,Male,PhD,Project Engineer,16.0,185000.0,Senior,Software & IT
29.0,Female,Bachelor's,Front end Developer,4.0,90000.0,Regular,Software & IT
39.0,Female,Master's,Software Engineer Manager,12.0,160000.0,Regular,Software & IT
27.0,Male,Bachelor's,Back end Developer,3.0,80000.0,Regular,Software & IT
49.0,Male,PhD,Project Engineer,17.0,195000.0,Senior,Software & IT
32.0,Female,Master's,Full Stack Engineer,6.0,115000.0,Regular,Software & IT
36.0,Male,Bachelor's,Software Engineer Manager,8.0,135000.0,Regular,Software & IT
27.0,Male,Bachelor's,Front end Developer,2.0,65000.0,Regular,Software & IT
43.0,Female,PhD,Project Engineer,14.0,190000.0,Senior,Software & IT
34.0,Male,Master's,Back end Developer,8.0,140000.0,Regular,Software & IT
46.0,Male,PhD,Software Engineer Manager,16.0,185000.0,Regular,Software & IT
33.0,Female,Bachelor's,Full Stack Engineer,7.0,130000.0,Regular,Software & IT
30.0,Female,Master's,Front end Developer,5.0,105000.0,Regular,Software & IT
50.0,Male,PhD,Project Engineer,19.0,200000.0,Senior,Software & IT
30.0,Male,Bachelor's,Back end Developer,5.0,100000.0,Regular,Software & IT
42.0,Male,Master's,Software Engineer Manager,13.0,170000.0,Regular,Software & IT
33.0,Female,Bachelor's,Full Stack Engineer,6.0,115000.0,Regular,Software & IT
45.0,Male,PhD,Project Engineer,16.0,185000.0,Senior,Software & IT
29.0,Female,Bachelor's,Front end Developer,4.0,90000.0,Regular,Software & IT
39.0,Female,Master's,Software Engineer Manager,12.0,160000.0,Regular,Software & IT
27.0,Male,Bachelor's,Back end Developer,3.0,80000.0,Regular,Software & IT
49.0,Male,PhD,Project Engineer,17.0,195000.0,Senior,Software & IT
32.0,Female,Master's,Full Stack Engineer,6.0,115000.0,Regular,Software & IT
36.0,Male,Bachelor's,Software Engineer Manager,8.0,135000.0,Regular,Software & IT
27.0,Male,Bachelor's,Front end Developer,2.0,65000.0,Regular,Software & IT
43.0,Female,PhD,Project Engineer,14.0,190000.0,Senior,Software & IT
34.0,Male,Master's,Back end Developer,8.0,140000.0,Regular,Software & IT
46.0,Male,PhD,Software Engineer Manager,16.0,185000.0,Regular,Software & IT
33.0,Female,Bachelor's,Full Stack Engineer,7.0,130000.0,Regular,Software & IT
30.0,Female,Master's,Front end Developer,5.0,105000.0,Regular,Software & IT
50.0,Male,PhD,Project Engineer,19.0,200000.0,Senior,Software & IT
30.0,Male,Bachelor's,Back end Developer,5.0,100000.0,Regular,Software & IT
42.0,Male,Master's,Software Engineer Manager,13.0,170000.0,Regular,Software & IT
33.0,Female,Bachelor's,Full Stack Engineer,6.0,115000.0,Regular,Software & IT
45.0,Male,PhD,Project Engineer,16.0,185000.0,Senior,Software & IT
29.0,Female,Bachelor's,Front end Developer,4.0,90000.0,Regular,Software & IT
39.0,Female,Master's,Software Engineer Manager,12.0,160000.0,Regular,Software & IT
27.0,Male,Bachelor's,Back end Developer,3.0,80000.0,Regular,Software & IT
49.0,Male,PhD,Project Engineer,17.0,195000.0,Senior,Software & IT
32.0,Female,Master's,Full Stack Engineer,6.0,115000.0,Regular,Software & IT
36.0,Male,Bachelor's,Software Engineer Manager,8.0,135000.0,Regular,Software & IT
27.0,Male,Bachelor's,Front end Developer,2.0,65000.0,Regular,Software & IT
43.0,Female,PhD,Project Engineer,14.0,190000.0,Senior,Software & IT
34.0,Male,Master's,Back end Developer,8.0,140000.0,Regular,Software & IT
46.0,Male,PhD,Software Engineer Manager,16.0,185000.0,Regular,Software & IT
33.0,Female,Bachelor's,Full Stack Engineer,7.0,130000.0,Regular,Software & IT
30.0,Female,Master's,Front end Developer,5.0,105000.0,Regular,Software & IT
50.0,Male,PhD,Project Engineer,19.0,200000.0,Senior,Software & IT
30.0,Male,Bachelor's,Back end Developer,5.0,100000.0,Regular,Software & IT
42.0,Male,Master's,Software Engineer Manager,13.0,170000.0,Regular,Software & IT
33.0,Female,Bachelor's,Full Stack Engineer,6.0,115000.0,Regular,Software & IT
45.0,Male,PhD,Project Engineer,16.0,185000.0,Senior,Software & IT
29.0,Female,Bachelor's,Front end Developer,4.0,90000.0,Regular,Software & IT
39.0,Female,Master's,Software Engineer Manager,12.0,160000.0,Regular,Software & IT
27.0,Male,Bachelor's,Back end Developer,3.0,80000.0,Regular,Software & IT
49.0,Male,PhD,Project Engineer,17.0,195000.0,Senior,Software & IT
32.0,Female,Master's,Full Stack Engineer,6.0,115000.0,Regular,Software & IT
36.0,Male,Bachelor's,Software Engineer Manager,8.0,135000.0,Regular,Software & IT
27.0,Male,Bachelor's,Front end Developer,2.0,65000.0,Regular,Software & IT
43.0,Female,PhD,Project Engineer,14.0,190000.0,Senior,Software & IT
34.0,Male,Master's,Back end Developer,8.0,140000.0,Regular,Software & IT
46.0,Male,PhD,Software Engineer Manager,16.0,185000.0,Regular,Software & IT
33.0,Female,Bachelor's,Full Stack Engineer,7.0,130000.0,Regular,Software & IT
30.0,Female,Master's,Front end Developer,5.0,105000.0,Regular,Software & IT
50.0,Male,PhD,Project Engineer,19.0,200000.0,Senior,Software & IT
30.0,Male,Bachelor's,Back end Developer,5.0,100000.0,Regular,Software & IT
42.0,Male,Master's,Software Engineer Manager,13.0,170000.0,Regular,Software & IT
33.0,Female,Bachelor's,Full Stack Engineer,6.0,115000.0,Regular,Software & IT
45.0,Male,PhD,Project Engineer,16.0,185000.0,Senior,Software & IT
29.0,Female,Bachelor's,Front end Developer,4.0,90000.0,Regular,Software & IT
39.0,Female,Master's,Software Engineer Manager,12.0,160000.0,Regular,Software & IT
27.0,Male,Bachelor's,Back end Developer,3.0,80000.0,Regular,Software & IT
49.0,Male,PhD,Project Engineer,17.0,195000.0,Senior,Software & IT
32.0,Female,Master's,Full Stack Engineer,6.0,115000.0,Regular,Software & IT
36.0,Male,Bachelor's,Software Engineer Manager,8.0,135000.0,Regular,Software & IT
27.0,Male,Bachelor's,Front end Developer,2.0,65000.0,Regular,Software & IT
43.0,Female,PhD,Project Engineer,14.0,190000.0,Senior,Software & IT
34.0,Male,Master's,Back end Developer,8.0,140000.0,Regular,Software & IT
46.0,Male,PhD,Software Engineer Manager,16.0,185000.0,Regular,Software & IT
33.0,Female,Bachelor's,Full Stack Engineer,7.0,130000.0,Regular,Software & IT
30.0,Female,Master's,Front end Developer,5.0,105000.0,Regular,Software & IT
50.0,Male,PhD,Project Engineer,19.0,200000.0,Senior,Software & IT
30.0,Male,Bachelor's,Back end Developer,5.0,100000.0,Regular,Software & IT
42.0,Male,Master's,Software Engineer Manager,13.0,170000.0,Regular,Software & IT
33.0,Female,Bachelor's,Full Stack Engineer,6.0,115000.0,Regular,Software & IT
45.0,Male,PhD,Project Engineer,16.0,185000.0,Senior,Software & IT
29.0,Female,Bachelor's,Front end Developer,4.0,90000.0,Regular,Software & IT
39.0,Female,Master's,Software Engineer Manager,12.0,160000.0,Regular,Software & IT
27.0,Male,Bachelor's,Back end Developer,3.0,80000.0,Regular,Software & IT
49.0,Male,PhD,Project Engineer,17.0,195000.0,Senior,Software & IT
32.0,Female,Master's,Full Stack Engineer,6.0,115000.0,Regular,Software & IT
36.0,Male,Bachelor's,Software Engineer Manager,8.0,135000.0,Regular,Software & IT
27.0,Male,Bachelor's,Front end Developer,2.0,65000.0,Regular,Software & IT
43.0,Female,PhD,Project Engineer,14.0,190000.0,Senior,Software & IT
34.0,Male,Master's,Back end Developer,8.0,140000.0,Regular,Software & IT
46.0,Male,PhD,Software Engineer Manager,16.0,185000.0,Regular,Software & IT
33.0,Female,Bachelor's,Full Stack Engineer,7.0,130000.0,Regular,Software & IT
30.0,Female,Master's,Front end Developer,5.0,105000.0,Regular,Software & IT
50.0,Male,PhD,Project Engineer,19.0,200000.0,Senior,Software & IT
30.0,Male,Bachelor's,Back end Developer,5.0,100000.0,Regular,Software & IT
42.0,Male,Master's,Software Engineer Manager,13.0,170000.0,Regular,Software & IT
33.0,Female,Bachelor's,Full Stack Engineer,6.0,115000.0,Regular,Software & IT
45.0,Male,PhD,Project Engineer,16.0,185000.0,Senior,Software & IT
29.0,Female,Bachelor's,Front end Developer,4.0,90000.0,Regular,Software & IT
31.0,Male,Master's,Software Engineer Manager,8.0,130000.0,Regular,Software & IT
27.0,Male,Bachelor's,Back end Developer,3.0,80000.0,Regular,Software & IT
43.0,Male,PhD,Project Engineer,15.0,180000.0,Senior,Software & IT
35.0,Female,Master's,Full Stack Engineer,8.0,140000.0,Regular,Software & IT
42.0,Male,Bachelor's,Software Engineer Manager,12.0,160000.0,Regular,Software & IT
28.0,Female,Bachelor's,Front end Developer,2.0,55000.0,Regular,Software & IT
44.0,Female,PhD,Project Engineer,16.0,190000.0,Senior,Software & IT
32.0,Male,Master's,Back end Developer,7.0,120000.0,Regular,Software & IT
48.0,Male,PhD,Software Engineer Manager,18.0,200000.0,Regular,Software & IT
30.0,Female,Bachelor's,Full Stack Engineer,5.0,100000.0,Regular,Software & IT
34.0,Male,Master's,Front end Developer,9.0,150000.0,Regular,Software & IT
37.0,Female,Bachelor's,Software Engineer Manager,11.0,170000.0,Regular,Software & IT
26.0,Male,Bachelor's,Back end Developer,2.0,65000.0,Regular,Software & IT
49.0,Female,PhD,Project Engineer,19.0,210000.0,Senior,Software & IT
29.0,Male,Bachelor's,Full Stack Engineer,4.0,90000.0,Regular,Software & IT
41.0,Male,Master's,Software Engineer Manager,14.0,180000.0,Regular,Software & IT
31.0,Female,Bachelor's,Front end Developer,6.0,110000.0,Regular,Software & IT
